anio;RENIPRESS;EESS;Ubigeo_Declarado_Paciente;Distrito_RH_Paciente;Codigo_Item;Codigo_Item_F;Descripcion_Item;id_genero;grupo_edad;cie;desc_grupo;TOTAL
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;28
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;21
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;5-11a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;4
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;4
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;3
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;9
2025;000002874;CANDARAVE;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;13
2025;000002899;POCOLLAY;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002890;LAS BEGONIAS;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002885;CIUDAD NUEVA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002881;ARICOTA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;5-11a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002888;SAN FRANCISCO;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002873;CAMILACA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002875;TOTORA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002875;TOTORA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;4
2025;000002875;TOTORA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002875;TOTORA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002913;LOCUMBA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;4
2025;000002913;LOCUMBA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002913;LOCUMBA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002910;BOROGUENA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002910;BOROGUENA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;3
2025;000002910;BOROGUENA;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002930;SUSAPAYA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002930;SUSAPAYA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000034527;CENTRO DE SALUD METROPOLITANO;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000034527;CENTRO DE SALUD METROPOLITANO;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000006724;VIÑANI;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000006724;VIÑANI;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000030609;PUESTO DE SALUD PAMPA SITANA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;5-11a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002932;TARATA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;5-11a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002932;TARATA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002924;RAMON COPAJA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002924;RAMON COPAJA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002913;LOCUMBA;220401;CANDARAVE;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;2
2025;000002911;MIRAVE;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;12
2025;000002911;MIRAVE;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;16
2025;000002911;MIRAVE;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;7
2025;000002911;MIRAVE;220303;ILABAYA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
